1+0i,9018.04+0i,16147.06+0i,1214.02+0i,1+0i,0+0i,1+0i,0+0i
1+0i,8620.4+0i,16459.68+0i,1.08+0i,1+0i,0+0i,0+0i,1+0i
1+0i,8874.4+0i,16357.3+0i,603.04+0i,1+0i,0+0i,0.707106781186547+0i,0.707106781186547+0i
1+0i,9011.14+0i,16314.66+0i,623.7+0i,1+0i,0+0i,0.707106781186547+0i,-0.707106781186547+0i
1+0i,8839+0i,16334.1+0i,570.18+0i,1+0i,0+0i,0.707106781186547+0i,0+0.707106781186547i
1+0i,8922.54+0i,16329.24+0i,651.94+0i,1+0i,0+0i,0.707106781186547+0i,0-0.707106781186547i
1+0i,8812.68+0i,16524.92+0i,2.48+0i,0+0i,1+0i,1+0i,0+0i
1+0i,8903.8+0i,16193.44+0i,1182.12+0i,0+0i,1+0i,0+0i,1+0i
1+0i,8902.56+0i,16345.02+0i,585.92+0i,0+0i,1+0i,0.707106781186547+0i,0.707106781186547+0i
1+0i,8958.52+0i,16367.4+0i,609.24+0i,0+0i,1+0i,0.707106781186547+0i,-0.707106781186547+0i
1+0i,8828+0i,16373.4+0i,621.14+0i,0+0i,1+0i,0.707106781186547+0i,0+0.707106781186547i
1+0i,8926.9+0i,16346.12+0i,552.58+0i,0+0i,1+0i,0.707106781186547+0i,0-0.707106781186547i
1+0i,8904.52+0i,16306.22+0i,618.5+0i,0.707106781186547+0i,0.707106781186547+0i,1+0i,0+0i
1+0i,8745.12+0i,16258.8+0i,579.82+0i,0.707106781186547+0i,0.707106781186547+0i,0+0i,1+0i
1+0i,8812.7+0i,16431+0i,1206.26+0i,0.707106781186547+0i,0.707106781186547+0i,0.707106781186547+0i,0.707106781186547+0i
1+0i,9094+0i,16153.78+0i,3.3+0i,0.707106781186547+0i,0.707106781186547+0i,0.707106781186547+0i,-0.707106781186547+0i
1+0i,8898.78+0i,16253.8+0i,618.5+0i,0.707106781186547+0i,0.707106781186547+0i,0.707106781186547+0i,0+0.707106781186547i
1+0i,8929.82+0i,16336+0i,576.02+0i,0.707106781186547+0i,0.707106781186547+0i,0.707106781186547+0i,0-0.707106781186547i
1+0i,8993.22+0i,16225.24+0i,601.08+0i,0.707106781186547+0i,-0.707106781186547+0i,1+0i,0+0i
1+0i,8694.4+0i,16221.14+0i,593.26+0i,0.707106781186547+0i,-0.707106781186547+0i,0+0i,1+0i
1+0i,8979.28+0i,16062.32+0i,3.52+0i,0.707106781186547+0i,-0.707106781186547+0i,0.707106781186547+0i,0.707106781186547+0i
1+0i,8905.02+0i,16366.36+0i,1214.02+0i,0.707106781186547+0i,-0.707106781186547+0i,0.707106781186547+0i,-0.707106781186547+0i
1+0i,8824.9+0i,16295.8+0i,565.78+0i,0.707106781186547+0i,-0.707106781186547+0i,0.707106781186547+0i,0+0.707106781186547i
1+0i,9022.24+0i,16198.26+0i,638.22+0i,0.707106781186547+0i,-0.707106781186547+0i,0.707106781186547+0i,0-0.707106781186547i
1+0i,8931.5+0i,16432.66+0i,572.3+0i,0.707106781186547+0i,0+0.707106781186547i,1+0i,0+0i
1+0i,8756.2+0i,16415.92+0i,624.2+0i,0.707106781186547+0i,0+0.707106781186547i,0+0i,1+0i
1+0i,8858+0i,16408.02+0i,567.18+0i,0.707106781186547+0i,0+0.707106781186547i,0.707106781186547+0i,0.707106781186547+0i
1+0i,9018.64+0i,16340.84+0i,656.58+0i,0.707106781186547+0i,0+0.707106781186547i,0.707106781186547+0i,-0.707106781186547+0i
1+0i,8768.32+0i,16569.9+0i,3.86+0i,0.707106781186547+0i,0+0.707106781186547i,0.707106781186547+0i,0+0.707106781186547i
1+0i,9041.92+0i,16244.88+0i,1204.86+0i,0.707106781186547+0i,0+0.707106781186547i,0.707106781186547+0i,0-0.707106781186547i
1+0i,8932.48+0i,16560.06+0i,637.68+0i,0.707106781186547+0i,0-0.707106781186547i,1+0i,0+0i
1+0i,8727.2+0i,16555.38+0i,559.96+0i,0.707106781186547+0i,0-0.707106781186547i,0+0i,1+0i
1+0i,8927.38+0i,16504.62+0i,628.42+0i,0.707106781186547+0i,0-0.707106781186547i,0.707106781186547+0i,0.707106781186547+0i
1+0i,8929.52+0i,16587.72+0i,574.38+0i,0.707106781186547+0i,0-0.707106781186547i,0.707106781186547+0i,-0.707106781186547+0i
1+0i,8938.28+0i,16347.5+0i,1178.72+0i,0.707106781186547+0i,0-0.707106781186547i,0.707106781186547+0i,0+0.707106781186547i
1+0i,8894.92+0i,16703.76+0i,4.76+0i,0.707106781186547+0i,0-0.707106781186547i,0.707106781186547+0i,0-0.707106781186547i
